"","star_results.CbriggsaeAligned.sortedByCoord.out.bam","star_results.Cbriggsae_rep2Aligned.sortedByCoord.out.bam","star_results.Cbriggsae_rep3Aligned.sortedByCoord.out.bam","star_results.Cnigoni_rep1Aligned.sortedByCoord.out.bam","star_results.Cnigoni_rep2Aligned.sortedByCoord.out.bam","star_results.Cnigoni_rep3Aligned.sortedByCoord.out.bam","star_results.hybrid2_rep1Aligned.sortedByCoord.out.bam","star_results.hybrid2_rep2Aligned.sortedByCoord.out.bam","star_results.hybrid2_rep3Aligned.sortedByCoord.out.bam","star_results.hybrid_rep1Aligned.sortedByCoord.out.bam","star_results.hybrid_rep2Aligned.sortedByCoord.out.bam","star_results.hybrid_rep3Aligned.sortedByCoord.out.bam"
"WBGene00033921__Cnig_chr_II.g5297",14,2,24,10,14,6,115,202,172,144,47,30
"WBGene00033922__Cnig_chr_II.g5299",250,245,218,128,58,174,63,52,26,130,168,50
"WBGene00033923__Cnig_chr_II.g5300",314,338,198,56,12,62,36,9,30,150,356,93
"WBGene00033924__Cnig_chr_II.g5301",84,86,44,4,0,16,16,40,6,0,32,12
"WBGene00033925__Cnig_chr_II.g5302",122,113,86,18,44,4,52,68,88,137,128,12
"WBGene00033926__Cnig_chr_II.g5304",8690,11742,11504,300,564,386,2277,3944,2266,7083,10561,6391
"WBGene00033927__Cnig_chr_II.g5305",0,6,14,0,0,0,0,0,0,0,0,0
"WBGene00033928__Cnig_chr_II.g5306",6,28,0,4,0,0,4,22,26,24,4,20
"WBGene00033929__Cni-clh-3",218,204,106,102,84,58,188,253,168,204,40,76
"WBGene00033930__Cni-F32A5.4",1010,937,1112,234,224,270,1589,3038,1796,3090,4222,2671
"WBGene00033932__Cni-F32A5.3",248,486,332,110,90,154,75,227,108,74,132,92
"WBGene00033933__Cni-aqp-1",56,144,72,82,58,36,69,310,62,70,0,100
"WBGene00033934__Cni-skpo-3",294,224,156,134,182,96,365,198,270,179,234,120
"WBGene00033935__Cni-prx-13",268,276,276,68,86,58,102,142,76,92,142,72
"WBGene00033936__Cni-lsm-4",122,132,90,88,104,114,162,123,83,101,228,97
"WBGene00033937__Cnig_chr_II.g5315",314,456,316,150,80,82,208,91,174,122,70,65
"WBGene00033939__Cni-C30G12.4",8,8,10,0,0,0,0,0,0,10,0,0
"WBGene00033940__Cni-C30G12.2",228,256,264,0,4,0,0,0,0,0,38,0
"WBGene00033941__Cni-C30G12.6",200,280,126,196,80,131,172,194,152,22,52,98
"WBGene00033942__Cni-puf-8",116,238,110,110,96,98,258,282,158,132,50,21
"WBGene00033943__Cni-C30G12.1",551,660,424,94,192,158,116,54,132,124,26,54
"WBGene00033944__Cni-cul-4",633,638,420,230,184,122,330,449,304,302,514,264
"WBGene00033945__Cni-brf-1",142,218,191,32,36,78,184,135,88,70,214,38
"WBGene00033946__Cnig_chr_II.g5324",412,573,222,208,168,186,258,166,114,130,270,78
"WBGene00033948__Cni-cnep-1",245,257,256,124,170,126,214,212,224,368,314,132
"WBGene00033949__Cni-F45E12.6",38,15,13,0,4,10,34,10,0,46,0,12
"WBGene00033950__Cni-F21D12.3",328,292,161,82,62,148,286,400,306,456,542,140
"WBGene00033951__Cni-npax-1",28,12,0,0,0,2,0,26,12,14,0,0
"WBGene00033952__Cni-nhr-21",96,104,10,94,103,147,152,396,172,140,252,80
"WBGene00033953__Cnig_chr_II.g5331",12860,16867,12614,6389,5623,5785,5697,5122,4418,7724,8516,9402
"WBGene00033954__Cni-haf-2",390,526,355,252,168,230,655,824,680,1297,1172,548
"WBGene00033956__Cni-insc-1",38,96,28,12,24,6,58,30,30,44,136,20
"WBGene00033958__Cnig_chr_II.g5337",0,12,0,0,0,0,0,0,0,0,0,0
"WBGene00033959__Cni-mtch-1",1854,2826,1574,1462,1639,1639,1278,1244,1200,1519,1817,856
"WBGene00033961__Cnig_chr_II.g5340",162,280,242,46,40,52,84,48,52,76,36,46
"WBGene00033962__Cni-C07D10.5",50,0,0,70,116,162,151,196,231,238,237,164
"WBGene00033963__Cni-sre-3",2,10,0,0,0,12,0,0,0,0,0,0
"WBGene00033964__Cni-bath-44",550,628,402,307,278,215,528,587,515,598,706,220
"WBGene00033965__Cni-C07D10.1",26,36,0,6,0,4,26,40,36,42,86,60
"WBGene00033966__Cni-nas-7",34,40,14,8,11,0,14,28,22,0,38,0
"WBGene00033968__Cni-K02A2.5",0,24,18,28,0,2,18,0,32,66,114,0
"WBGene00033891__Cni-kcc-3",332,364,194,216,110,108,88,222,148,202,90,80
"WBGene00033891__Cnig_chr_II.g5350",332,364,194,216,110,108,88,222,148,202,90,80
"WBGene00033890__Cnig_chr_II.g5351",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00033889__Cnig_chr_II.g5352",162,168,52,62,84,100,40,98,28,140,260,118
"WBGene00033888__Cnig_chr_II.g5353",2,16,0,0,0,0,0,0,0,0,0,16
"WBGene00033887__Cni-D1022.2",1039,1298,962,198,326,446,8,32,12,20,44,32
"WBGene00033887__Cni-sro-1",1039,1298,962,198,326,446,8,32,12,20,44,32
"WBGene00033885__Cni-aka-1",1967,2250,1857,801,440,551,704,658,435,825,972,226
"WBGene00033884__Cni-ubc-6",242,410,311,40,70,44,100,174,112,91,148,82
"WBGene00033883__Cni-rnh-1.1",6297,6082,4675,708,507,874,348,258,312,703,404,394
"WBGene00033882__Cni-ZK1290.7",200,238,62,56,4,54,10,0,0,14,0,30
"WBGene00033879__Cnig_chr_II.g5363",0,6,0,0,6,14,32,178,34,228,478,142
"WBGene00033878__Cni-srab-14",30,22,58,0,8,0,14,0,4,22,100,6
"WBGene00033877__Cni-R10H1.1",64,184,76,68,46,114,182,264,200,308,406,150
"WBGene00033876__Cni-nas-23",0,8,0,0,6,20,10,0,0,0,0,26
"WBGene00033875__Cni-D1022.9",654,574,458,296,292,357,120,102,90,218,84,62
"WBGene00033874__Cni-cah-2",64,0,14,30,20,20,16,6,22,0,66,0
"WBGene00033873__Cnig_chr_II.g5395",4,0,14,36,30,50,118,154,58,118,100,142
"WBGene00033872__Cni-moa-2",58,114,106,90,66,88,100,118,58,162,150,134
"WBGene00033871__Cni-B0495.5",515,658,528,360,256,250,571,858,506,547,790,374
"WBGene00033870__Cnig_chr_II.g5377",64,36,74,216,115,131,363,388,470,202,200,148
"WBGene00033869__Cni-pid-1",73,76,98,62,74,90,68,118,60,48,54,34
"WBGene00033868__Cni-F18A1.1",69,70,46,24,26,10,44,24,20,40,0,22
"WBGene00033867__Cni-lin-26",228,192,188,150,80,76,152,116,152,122,68,22
"WBGene00033866__Cni-lir-1",80,124,156,48,50,116,124,298,128,98,248,78
"WBGene00033865__Cni-lir-2",100,172,92,44,36,38,76,62,102,12,24,44
"WBGene00033864__Cni-rpa-1",820,914,748,546,630,381,716,722,700,428,748,410
"WBGene00033863__Cni-F18A1.7",120,206,218,76,92,188,112,240,144,90,56,50
"WBGene00033862__Cni-alfa-1",286,244,132,146,86,116,134,257,180,118,84,166
"WBGene00033859__Cni-pde-4",690,818,742,554,677,653,440,657,560,1008,946,540
"WBGene00033858__Cni-R07G3.8",192,196,148,16,52,66,212,306,290,220,328,144
"WBGene00033857__Cnig_chr_II.g5392",586,914,974,608,442,668,814,832,757,1115,1312,604
"WBGene00033855__Cni-R07G3.7",95,88,93,41,47,16,50,36,81,14,18,42
"WBGene00033854__Cnig_chr_II.g5373",16,4,22,12,24,0,22,112,36,32,54,22
"WBGene00033853__Cni-lips-17",64,102,66,90,104,102,226,80,186,132,99,90
"WBGene00033853__Cnig_chr_II.g5398",64,102,66,90,104,102,226,80,186,132,99,90
"WBGene00033851__Cni-osm-8",1980,1922,1460,1676,1219,1277,2816,3147,2259,1718,1908,1680
"WBGene00033850__Cni-pgam-5",1039,1053,666,675,786,680,530,517,524,485,516,432
"WBGene00033849__Cni-syd-1",63,100,16,14,24,10,73,36,66,76,122,114
"WBGene00033848__Cni-mks-3",6,20,26,0,0,0,10,12,36,8,0,10
"WBGene00033847__Cni-F35D2.6",20,8,0,0,0,0,0,0,0,0,0,0
"WBGene00033845__Cni-F35D2.3",20,6,6,4,10,8,4,8,2,8,26,0
"WBGene00033844__Cni-ZK1290.1",2798,4245,2717,532,524,524,10,24,42,19,0,20
"WBGene00033843__Cni-ZK1290.11",2262,2912,2455,516,536,378,6,40,20,32,0,22
"WBGene00270466__Cni-ZK1290.14",216,174,176,88,134,96,130,68,78,284,389,208
"WBGene00033841__Cni-ZK1290.10",8,10,6,6,8,0,0,0,0,0,0,0
"WBGene00033840__Cni-tph-1",128,158,174,1,12,20,53,109,18,36,94,33
"WBGene00033839__Cni-rol-8",8,6,0,8,0,0,0,110,62,0,70,0
"WBGene00033838__Cni-nfi-1",296,399,344,116,148,132,174,224,184,234,292,198
"WBGene00086955__Cni-ZK1290.13",38,108,62,12,12,52,78,104,66,102,286,56
"WBGene00033837__Cni-wrt-10",34,22,32,0,10,0,14,30,0,0,31,4
"WBGene00033836__Cni-wrt-1",0,0,8,12,0,0,2,10,0,0,0,0
"WBGene00033835__Cni-ZK1290.5",64,128,20,63,72,118,300,194,118,90,250,94
"WBGene00033834__Cnig_chr_II.g5419",546,598,369,334,287,452,577,505,446,371,320,339
"WBGene00033834__Cni-B0495.7",546,598,369,334,287,452,577,505,446,371,320,339
"WBGene00033831__Cni-B0495.9",489,620,380,288,310,512,258,270,122,351,112,232
"WBGene00033830__Cni-sre-1",0,0,18,0,6,0,4,0,0,12,0,0
"WBGene00033829__Cni-cpna-5",107,96,108,186,148,74,102,60,32,94,44,98
"WBGene00033825__Cnig_chr_II.g5426",2463,1908,1668,728,627,574,1202,1341,1105,2350,3026,1533
"WBGene00033824__Cni-trx-1",0,22,22,0,0,0,0,22,14,16,0,0
"WBGene00033823__Cni-B0228.6",10,24,0,2,0,0,20,6,32,32,0,0
"WBGene00033822__Cni-B0228.1",96,112,80,10,27,28,104,76,66,71,152,68
"WBGene00033821__Cnig_chr_II.g5430",447,471,264,87,92,122,170,112,182,160,198,108
"WBGene00033820__Cni-B0228.7",232,422,150,195,312,333,385,531,451,399,559,206
"WBGene00033819__Cni-B0228.8",0,0,0,184,130,122,0,10,6,0,0,0
"WBGene00033817__Cni-srh-39",0,16,0,0,0,0,0,20,0,0,0,0
"WBGene00033816__Cnig_chr_II.g5435",111,88,40,10,0,0,20,2,2,0,22,28
"WBGene00033816__Cnig_chr_II.g5436",111,88,40,10,0,0,20,2,2,0,22,28
"WBGene00033815__Cni-C06A8.6",1741,2728,1738,1328,1815,1766,860,594,528,1282,994,903
"WBGene00033813__Cni-mthf-1",1392,1359,1496,2991,2857,2350,2191,1482,1519,1282,716,608
"WBGene00033812__Cni-snpc-1.1",80,128,98,76,90,56,94,60,98,98,126,54
"WBGene00033811__Cnig_chr_II.g5440",84,218,154,78,48,128,104,112,18,11,134,64
"WBGene00033810__Cni-skr-17",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00033809__Cni-ZK666.8",656,855,474,330,348,333,214,158,200,218,218,198
"WBGene00033807__Cni-glr-4",32,56,28,24,22,28,48,102,36,70,98,24
"WBGene00033807__Cnig_chr_II.g5444",32,56,28,24,22,28,48,102,36,70,98,24
"WBGene00033807__Cnig_chr_II.g5445",32,56,28,24,22,28,48,102,36,70,98,24
"WBGene00033806__Cni-cki-1",34,30,18,64,26,66,20,84,36,22,138,14
"WBGene00033802__Cnig_chr_II.g5448",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00033801__Cni-cex-2",36,66,69,0,16,12,66,148,62,173,246,13
"WBGene00026194__Cni-klp-3",38,124,64,6,6,9,104,28,24,68,134,26
"WBGene00026192__Cnig_chr_II.g5451",0,14,0,0,0,0,0,30,0,10,0,0
"WBGene00026192__Cni-T09A5.4",0,14,0,0,0,0,0,30,0,10,0,0
"WBGene00026192__Cni-acr-7",0,14,0,0,0,0,0,30,0,10,0,0
"WBGene00026191__Cni-T09A5.5",274,260,315,276,304,324,244,234,191,204,154,98
"WBGene00026190__Cni-mdt-10",134,74,62,78,32,80,58,28,70,20,102,28
"WBGene00026189__Cni-T09A5.7",48,216,86,102,144,230,176,126,70,161,124,12
"WBGene00026188__Cni-cec-3",144,252,90,86,62,12,136,66,52,120,74,66
"WBGene00026187__Cni-T09A5.15",76,100,0,52,60,46,24,42,46,90,32,0
"WBGene00026186__Cni-sds-22",78,166,82,130,92,106,158,216,98,88,204,34
"WBGene00026185__Cnig_chr_II.g5460",110,80,104,30,38,50,103,118,22,28,0,10
"WBGene00026184__Cni-ostb-1",1504,1768,1234,1074,993,862,707,697,660,886,864,518
"WBGene00026183__Cni-ztf-17",309,256,341,190,132,157,203,438,271,218,189,148
"WBGene00026182__Cni-T01H3.3",614,424,260,22,22,20,34,102,44,40,128,0
"WBGene00026181__Cni-T01H3.2",341,516,343,152,76,148,118,58,72,100,130,120
"WBGene00026180__Cni-vha-4",740,1297,1039,794,1284,1057,1432,1007,1039,1251,1469,769
"WBGene00026179__Cni-perm-1",126,46,170,78,40,55,80,120,130,76,0,16
"WBGene00026178__Cnig_chr_II.g5468",2408,2180,3014,1180,710,402,2205,2833,1858,2954,3636,1996
"WBGene00026177__Cni-rev-1",92,134,144,70,78,94,82,132,60,54,46,24
"WBGene00026175__Cni-spv-1",328,220,262,97,60,38,174,240,168,198,229,128
"WBGene00026174__Cni-ZK675.4",68,28,0,0,0,2,8,0,6,18,0,0
"WBGene00026173__Cni-best-23",36,36,28,22,16,48,42,102,6,54,16,0
"WBGene00026172__Cni-ZK669.2",124,156,122,62,134,32,58,38,56,70,48,16
"WBGene00026170__Cni-ZK669.3",300,494,229,232,136,170,316,385,230,308,301,295
"WBGene00026169__Cni-dbt-1",1889,2480,2094,1307,1194,1087,524,569,559,1063,1232,897
"WBGene00026168__Cni-ZK669.5",50,24,28,24,14,10,24,18,16,18,0,0
"WBGene00026167__Cni-C04H4.1",0,0,0,2,14,16,0,3,0,0,0,16
"WBGene00026165__Cnig_chr_II.g5484",204,232,222,128,130,46,156,362,192,236,532,182
"WBGene00026165__Cni-DH11.5",204,232,222,128,130,46,156,362,192,236,532,182
"WBGene00026162__Cni-C16D2.1",140,195,255,108,207,232,106,134,32,122,122,106
"WBGene00026161__Cnig_chr_II.g5489",342,372,326,173,178,302,627,780,548,877,1014,562
"WBGene00026161__Cnig_chr_II.g5488",342,372,326,173,178,302,627,780,548,877,1014,562
"WBGene00026158__Cni-T24H10.4",114,54,82,86,72,142,193,228,230,232,196,28
"WBGene00026157__Cni-dnj-23",238,86,192,100,84,40,112,112,134,120,60,88
"WBGene00026156__Cni-dyrb-1",190,78,54,104,176,55,174,226,193,152,152,182
"WBGene00026155__Cni-T24H10.1",233,201,135,77,54,120,114,134,108,79,231,37
"WBGene00026154__Cni-clh-5",234,398,200,172,102,164,181,229,182,224,366,196
"WBGene00026153__Cni-C07H4.1",190,148,120,26,2,18,114,24,22,52,25,2
"WBGene00026152__Cni-hlh-3",16,10,44,0,0,0,0,0,0,0,0,0
"WBGene00026151__Cni-T24B8.5",447,822,314,2876,4045,3119,1194,434,1008,2339,4210,1692
"WBGene00026150__Cni-T24B8.4",746,732,727,142,136,36,425,325,295,567,1044,440
"WBGene00026149__Cni-T24B8.3",638,664,231,591,573,598,852,1119,800,959,876,514
"WBGene00026148__Cni-rpl-32",2859,4609,2261,4086,5247,4301,4240,4998,3655,3196,2803,2949
"WBGene00026147__Cni-T24B8.2",392,300,228,24,60,44,56,128,76,76,150,14
"WBGene00026145__Cni-T24B8.7",2033,1468,1532,1068,502,874,884,1303,977,1225,2096,550
"WBGene00026144__Cni-F37B12.3",188,256,184,194,294,232,144,162,128,134,246,134
"WBGene00026143__Cni-gcs-1",558,756,558,794,491,654,734,648,656,582,969,414
"WBGene00026142__Cni-F37B12.1",154,242,168,62,102,48,70,92,76,144,86,66
"WBGene00026141__Cni-dep-1",206,144,118,159,40,70,270,402,176,208,214,200
"WBGene00026140__Cni-F44G4.7",22,2,0,0,8,16,2,2,12,0,0,0
"WBGene00026139__Cni-F44G4.6",54,38,54,12,12,38,16,12,42,20,0,24
"WBGene00271431__Cni-F44G4.5",408,460,298,244,376,422,210,176,94,190,434,108
"WBGene00026137__Cni-tdp-1",213,210,130,121,80,58,163,180,140,113,80,112
"WBGene00026136__Cni-F44G4.3",57,11,30,22,8,26,22,56,35,12,0,32
"WBGene00026136__Cni-F44G4.2",57,11,30,22,8,26,22,56,35,12,0,32
"WBGene00026134__Cni-F44G4.1",228,202,212,246,132,214,474,698,436,204,242,70
"WBGene00026130__Cni-C18E9.9",240,422,220,110,63,159,114,136,130,131,410,26
"WBGene00026129__Cni-C18E9.8",2503,3195,2246,1221,1118,1209,516,353,562,741,335,581
"WBGene00026128__Cni-C18E9.7",66,12,8,10,26,8,42,104,26,268,256,80
"WBGene00026127__Cni-tomm-40",978,1285,774,1050,920,836,792,1048,834,763,666,498
"WBGene00026126__Cni-C18E9.5",280,296,132,148,150,130,134,116,58,298,324,130
"WBGene00026125__Cni-szy-20",370,578,386,130,114,88,214,186,140,220,266,100
"WBGene00026124__Cni-C18E9.2",1054,1199,872,322,256,286,223,233,258,362,317,152
"WBGene00026123__Cni-C18E9.4",1009,1347,672,1077,1169,946,898,724,420,924,584,484
"WBGene00026121__Cni-sftd-3",66,284,98,110,216,175,158,106,100,132,158,148
"WBGene00026121__Cni-cal-2",66,284,98,110,216,175,158,106,100,132,158,148
"WBGene00026120__Cni-cutl-15",44,82,26,8,48,12,22,28,0,24,32,8
"WBGene00026119__Cnig_chr_II.g5531",646,1066,448,422,418,462,228,334,262,302,278,242
"WBGene00026118__Cni-set-17",114,144,100,88,62,44,143,242,170,140,116,86
"WBGene00026116__Cni-enol-1",5232,7213,4397,3867,4586,3233,3254,3281,3045,4195,5511,3968
"WBGene00026115__Cni-mrpl-50",187,263,232,124,119,210,100,152,102,152,336,78
"WBGene00026114__Cni-cct-2",1086,1471,809,524,462,530,1022,1294,905,1510,1316,740
"WBGene00026113__Cni-B0457.2",130,198,118,133,94,142,166,156,170,112,156,92
"WBGene00026112__Cni-B0457.6",267,266,290,182,127,199,429,224,248,262,316,232
"WBGene00026111__Cni-lat-1",806,1135,1056,718,497,530,702,1088,836,682,842,584
"WBGene00026110__Cni-ddx-19",576,574,670,649,572,706,688,1124,638,898,824,418
"WBGene00270467__Cni-T07D4.5",84,136,28,58,66,86,110,56,42,22,52,12
"WBGene00026109__Cni-rha-1",546,458,405,156,168,120,438,498,422,316,94,254
"WBGene00026108__Cnig_chr_II.g5548",120,132,98,72,22,76,114,190,188,63,98,104
"WBGene00026107__Cni-npr-20",102,80,2,0,14,8,14,30,38,84,46,28
"WBGene00026106__Cnig_chr_II.g5551",0,0,0,0,0,0,0,0,8,0,32,0
"WBGene00026105__Cni-oac-46",285,248,116,136,60,92,383,272,234,248,350,102
"WBGene00026104__Cni-agxt-1",380,424,220,255,292,304,245,294,190,149,322,197
"WBGene00026103__Cni-F46C5.6",118,146,38,0,6,6,18,58,28,18,66,18
"WBGene00026102__Cni-F46C5.7",66,152,14,97,80,178,44,114,46,74,0,20
"WBGene00270479__Cni-F46C5.4",0,0,0,0,6,0,4,0,0,54,0,0
"WBGene00026100__Cni-F46C5.2",14,18,8,10,2,28,0,18,1,0,0,0
"WBGene00026099__Cni-nas-25",0,26,0,86,14,102,40,34,14,34,50,62
"WBGene00026098__Cni-F46C5.1",12,2,0,208,218,387,104,1075,448,68,514,177
"WBGene00026097__Cni-F46C5.10",130,222,146,14,0,6,16,30,26,42,25,48
"WBGene00026095__Cnig_chr_II.g5564",1,2,0,0,0,9,0,0,11,10,0,0
"WBGene00026094__Cni-rer-1",877,995,884,684,825,712,646,748,603,754,838,664
"WBGene00026093__Cni-F46C5.9",264,356,264,234,296,258,270,292,174,368,74,184
"WBGene00026092__Cni-F07H5.10",117,46,100,76,116,50,82,152,90,48,92,15
"WBGene00026091__Cni-pho-13",120,136,74,58,110,36,60,100,18,68,176,56
"WBGene00026090__Cni-F07H5.8",0,0,0,6,0,0,0,0,8,2,26,10
"WBGene00026089__Cni-F07H5.7",26,42,28,12,22,0,18,0,0,10,0,0
"WBGene00026088__Cnig_chr_II.g5573",0,8,0,0,0,0,0,0,0,16,0,0
"WBGene00086969__Cnig_chr_II.g5577",2264,3146,2172,832,1022,742,1251,1289,1114,1902,2904,1515
"WBGene00026087__Cni-sgn-1",72,54,58,32,24,54,64,60,94,204,76,110
"WBGene00026086__Cni-let-19",614,308,572,185,129,104,256,338,220,548,644,280
"WBGene00026085__Cni-K08F8.5",789,777,688,436,546,390,193,176,160,264,202,184
"WBGene00026084__Cni-pah-1",1506,1594,1468,374,642,499,1307,1496,1048,952,1480,748
"WBGene00026083__Cnig_chr_II.g5584",0,0,0,0,0,10,24,6,16,12,0,24
"WBGene00026082__Cnig_chr_II.g5585",0,14,0,0,1,0,12,10,6,0,0,14
"WBGene00026081__Cni-ptr-20",172,172,81,32,38,40,128,167,264,314,260,142
"WBGene00026080__Cni-rab-21",88,98,76,60,48,38,70,100,46,52,130,88
"WBGene00026079__Cni-cyn-11",26,104,32,166,152,130,148,134,114,184,44,108
"WBGene00026078__Cni-T01B7.5",256,284,128,204,160,226,304,214,182,156,180,98
"WBGene00026077__Cni-trcs-2",333,342,360,177,98,110,314,444,300,358,326,185
"WBGene00026076__Cni-T01B7.9",38,36,58,38,26,40,30,4,16,0,0,30
"WBGene00026075__Cni-rol-6",28,0,0,0,0,0,2,58,10,0,0,26
"WBGene00026074__Cni-T01B7.8",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00026073__Cni-mak-1",2934,4248,3093,2312,3054,2700,2526,2293,2158,3121,2910,3068
"WBGene00026072__Cni-atf-2",30,38,42,4,12,16,20,78,36,64,202,102
"WBGene00026071__Cni-K08F8.7",20,32,0,0,0,0,0,28,0,0,0,24
"WBGene00026070__Cni-fut-1",155,166,180,54,76,44,20,70,56,48,122,28
"WBGene00026069__Cni-Y53F4B.24",450,674,446,264,94,281,102,94,152,130,314,73
"WBGene00026068__Cni-Y53F4B.23",22,50,10,22,22,46,22,36,22,18,0,0
"WBGene00026067__Cni-arp-1",695,778,512,504,563,516,728,906,678,776,868,408
"WBGene00026065__Cni-kel-1",36,42,40,50,52,34,64,96,68,64,38,21
"WBGene00026065__Cni-tars-1",36,42,40,50,52,34,64,96,68,64,38,21
"WBGene00026065__Cnig_chr_II.g5606",36,42,40,50,52,34,64,96,68,64,38,21
"WBGene00026063__Cni-xpf-1",158,312,167,200,186,196,260,278,214,264,70,80
"WBGene00026063__Cni-inos-1",158,312,167,200,186,196,260,278,214,264,70,80
"WBGene00026063__Cnig_chr_II.g5609",158,312,167,200,186,196,260,278,214,264,70,80
"WBGene00026061__Cni-VF13D12L.3",697,832,553,271,448,415,278,308,264,284,422,116
"WBGene00026061__Cni-F13D12.9",697,832,553,271,448,415,278,308,264,284,422,116
"WBGene00026061__Cnig_chr_II.g5612",697,832,553,271,448,415,278,308,264,284,422,116
"WBGene00026060__Cni-F13D12.10",137,96,98,4,8,0,2,0,0,0,0,0
"WBGene00026059__Cni-F13D12.3",248,354,296,60,16,38,234,44,52,157,176,144
"WBGene00026058__Cni-ldh-1",1142,2068,1056,1424,1984,1654,1174,948,1120,1278,1290,960
"WBGene00026057__Cni-alh-8",6467,7715,6903,6877,7146,5421,6919,12815,7457,6429,6721,5914
"WBGene00026056__Cni-F13D12.8",14,34,92,122,32,72,36,64,58,102,120,34
"WBGene00026055__Cni-F13D12.6",1724,2885,1736,1957,1616,1083,1494,1402,1096,2679,3066,2121
"WBGene00026054__Cni-gpb-1",1781,1676,1644,728,526,346,1095,1305,939,1981,2606,1099
"WBGene00026053__Cni-F22B3.8",252,332,246,174,184,86,24,62,94,164,156,58
"WBGene00026052__Cni-F44E5.1",2248,2843,1625,2160,2991,2573,2165,2043,1636,1918,1856,1377
"WBGene00026051__Cni-patr-1",471,599,406,536,430,329,588,750,527,588,875,454
"WBGene00026050__Cnig_chr_II.g5625",42,20,20,99,152,162,90,242,104,82,160,80
"WBGene00303239__Cni-F43G6.4",74,100,50,20,22,30,66,104,116,124,244,96
"WBGene00086973__Cnig_chr_II.g5628",42,84,140,26,24,32,38,26,18,20,0,0
"WBGene00086974__Cnig_chr_II.g5630",145,162,134,6,0,16,2,14,16,24,0,0
"WBGene00026048__Cni-T27D12.1",314,392,386,330,282,210,468,308,400,504,486,442
"WBGene00026047__Cni-clh-1",838,654,714,598,509,338,1170,1067,1171,1278,1750,766
"WBGene00026046__Cni-K12D12.4",482,674,526,146,174,194,128,56,90,208,164,62
"WBGene00270487__Cnig_chr_II.g5639",134,202,128,8,0,12,76,12,32,64,4,32
"WBGene00026043__Cni-T09F3.5",140,130,96,8,4,26,60,28,72,7,0,32
"WBGene00026040__Cni-E04D5.5",62,62,0,294,176,360,188,118,94,60,0,26
"WBGene00026039__Cni-E04D5.1",1202,1316,1139,1161,1090,787,1334,1467,1092,1362,1163,1016
"WBGene00026038__Cni-E04D5.2",66,126,24,52,12,26,64,70,54,66,0,12
"WBGene00026037__Cni-cut-4",6,0,38,4,0,0,0,0,6,0,0,0
"WBGene00026036__Cni-ZK673.1",322,574,246,244,264,258,494,890,528,554,538,332
"WBGene00026035__Cni-ZK673.2",994,1481,1143,652,756,532,835,1305,880,1524,1353,838
"WBGene00026034__Cni-ZK673.4",22,88,62,36,12,34,66,62,62,38,34,0
"WBGene00303300__Cni-ZK673.11",14,2,6,24,8,16,14,0,2,24,0,0
"WBGene00026032__Cnig_chr_II.g5654",56,44,82,0,0,0,0,0,0,0,0,0
"WBGene00026031__Cni-tnc-2",110,180,44,206,224,172,222,356,194,352,276,186
"WBGene00026030__Cnig_chr_II.g5657",0,0,0,0,0,0,4,22,0,0,0,16
"WBGene00026028__Cnig_chr_II.g5659",50,28,28,4,14,22,12,0,0,54,0,22
"WBGene00026027__Cnig_chr_II.g5660",14,68,42,30,8,12,78,285,162,192,315,264
"WBGene00026025__Cni-ZK666.15",8,0,0,0,0,0,0,0,0,0,0,0
"WBGene00086980__Cnig_chr_II.g5663",470,356,310,66,152,158,56,26,16,62,54,4
"WBGene00026023__Cni-ZK666.12",4,0,0,0,0,0,2,0,0,0,0,0
"WBGene00026022__Cni-myrf-1",101,176,151,34,4,36,36,154,68,100,92,82
"WBGene00086981__Cnig_chr_II.g5666",136,204,94,20,20,61,48,82,72,34,48,20
"WBGene00026021__Cni-T05D4.5",10,0,0,54,57,38,20,24,0,36,89,12
"WBGene00026020__Cni-F59B10.2",0,18,30,2,0,0,6,8,2,36,0,0
"WBGene00026019__Cni-F59B10.3",26,84,6,6,2,4,18,2,27,28,106,0
"WBGene00026018__Cnig_chr_II.g5670",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00026017__Cni-F59B10.4",62,8,58,46,30,44,144,128,92,150,144,164
"WBGene00026016__Cni-F59B10.5",117,198,124,22,8,14,56,32,14,62,44,2
"WBGene00026015__Cni-F59B10.6",3,8,0,0,0,0,0,0,6,0,36,0
"WBGene00026014__Cni-mab-10",238,150,98,134,44,80,132,68,138,264,326,226
"WBGene00026013__Cnig_chr_II.g5680",618,788,622,164,146,90,116,110,136,114,22,100
"WBGene00026012__Cni-R166.3",178,168,76,110,34,32,38,174,130,78,34,88
"WBGene00026011__Cni-pro-1",174,192,188,90,68,56,142,186,122,82,90,74
"WBGene00026010__Cni-mnk-1",5124,4526,5822,1603,1075,1027,3462,6245,3600,6139,8212,3945
"WBGene00026009__Cnig_chr_II.g5685",5746,6785,5361,3361,2816,2576,3488,4482,3339,3835,4373,2989
"WBGene00026006__Cni-C06A1.2",73,62,60,102,64,96,116,106,110,232,321,60
"WBGene00026005__Cnig_chr_II.g5689",127,206,44,68,24,46,44,48,26,92,114,36
